"name","preferred","long_name","unicode","description","type"
"%",,"Percentage",,"A number expressed as a fraction of 100","Misc"
"%v/v",,"Percentage volume for volume",,"A unit of volume percent concentration","Concentration (Vol/Vol)"
"%Wt/Wt",,"Percentage weight for weight",,"A unit of weight percent concentration","Concentration (Wt/Wt)"
"′","'","Minute","(U+2032)","This character is a prime - a unit of angular measure used in geographic coordinates (latitude or longitude)","Misc"
"'",,"Minute",,"This character is a quote, an allowable alternative to a prime - a unit of angular measure used in geographic coordinates (latitude or longitude)","Misc"
"″","""","Second","(U+2033)","This character is a double prime - a unit of angular measure used in geographic coordinates (latitude or longitude)","Misc"
"""",,"Second",,"This character is a double quote allowable alternative to double prime - a unit of angular measure used in geographic coordinates (latitude or longitude)","Misc"
"°",,"Degree","(U+00B0)","A unit of angular measure used in geographic coordinates (latitude or longitude)","Misc"
"µg",,"Microgram","(U+00B5)g","A unit of mass","Mass"
"µg/day",,"Micrograms per day","(U+00B5)g/day","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/h",,"Micrograms per hour","(U+00B5)g/h","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/hr","µg/h","Micrograms per hour","(U+00B5)g/hr","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/kg","µgkg-1","Micrograms per Kilograms","(U+00B5)g/kg","A unit of concentration used for chemicals in biota","Concentration (Mass/Mass)"
"µg/l",,"Micrograms per Litre","(U+00B5)g/l","A unit of concentration","Concentration (mass/vol)"
"µg/m","µg/min","Micrograms per minute","(U+00B5)g/m","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/m2",,"Micrograms per cubic metre","(U+00B5)g/m2","A unit of concentration","Concentration (mass/vol)"
"µg/m3",,"Micrograms per cubic metre","(U+00B5)g/m3","A unit of concentration","Concentration (mass/vol)"
"µg/min",,"Micrograms per minute","(U+00B5)g/min","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/s",,"Micrograms per second","(U+00B5)g/s","A measure of volume flow rate or discharge","Flow (mass/time)"
"µg/wk",,"Micrograms per week","(U+00B5)g/wk","A measure of volume flow rate or discharge","Flow (mass/time)"
"µgkg-1",,"Micrograms per kilograms","(U+00B5)g/kg","A unit of concentration used for chemicals in biota","Concentration (Mass/Mass)"
"µl",,"Microlitre","(U+00B5)l","A unit of volume","Volume"
"µl/day",,"Microlitres per day","(U+00B5)l/day","A measure of mass flow rate","Flow (vol/time)"
"µl/h",,"Microlitres per hour","(U+00B5)l/h","A measure of mass flow rate","Flow (vol/time)"
"µl/hr","µl/h","Microlitres per hour","(U+00B5)l/hr","A measure of mass flow rate","Flow (vol/time)"
"µl/m","µl/min","Microlitres per minute","(U+00B5)l/m","A measure of mass flow rate","Flow (vol/time)"
"µl/min",,"Microlitres per minute","(U+00B5)l/min","A measure of mass flow rate","Flow (vol/time)"
"µl/s",,"Microlitres per second","(U+00B5)l/s","A measure of mass flow rate","Flow (vol/time)"
"µl/wk",,"Microlitres per week","(U+00B5)l/wk","A measure of mass flow rate","Flow (vol/time)"
"µmol/l",,"Micromoles per litre","(U+00B5)mol/l","A unit of concentration","Concentration (mass/vol)"
"µS/cm","µScm-1","Microsiemens per centimetre","(U+00B5)S/cm","A unit of conductivity","Electrical conductivity"
"µScm-1",,"Microsiemens per centimetre","(U+00B5)S/cm","A unit of conductivity","Electrical conductivity"
"µV",,"Microvolt","(U+00B5)V","A unit of electrical potential","Electricity"
"‰",,"Percentage per mille","(U+2030)","A number expressed as a fraction of 1000","Misc"
"95%ile",,"95th percentile",,"The value below which 95% of recorded measurements or observations occur","Misc"
"A",,"Ampere",,"A unit of electric current","Electricity"
"a",,"Year",,"A unit of time","Time"
"ABS/cm","cm-1","Absorption per centimetre",,"A unit of absorption","Misc"
"ABS/m","m-1","Absorbance per metre",,"A unit of absorbance","Misc"
"Bar",,"Bar",,"A unit of pressure","Pressure"
"Bq",,"Becquerel",,"A unit of radioactivity","Radioactive decay"
"kBq",,"Kilobecquerel",,"A unit of radioactivity","Radioactive decay"
"Bq/cm2","Bqcm-2","Becquerels per square centimetre",,"A unit of radioactive surface contamination","Radioactivity"
"Bq/cm3","Bqcm-3","Becquerels per cubic centimetre",,"A unit of radioactivity concentration","Radioactivity"
"Bq/g",,"Becquerels per gram",,"A unit of radioactivity concentration","Radioactivity"
"Bq/kg","Bqkg-1","Becquerels per kilograms",,"A unit of radioactivity concentration","Radioactivity"
